Grapheme	IPA	SCA	FREQUENCY	Frequency	EXAMPLES
^	NULL		332	NULL	amaj;masdej;njiimak;tʃaam;mat̪_iθaav
$	NULL		332	NULL	amaj;masdej;njiimak;tʃaam;mat̪_iθaav
a	a	A	390	293	amaj;amaj;masdej;njiimak;mat̪_iθaav
aa	aː	A	23	16	tʃaam;mat̪_iθaav;anjaaʔiilj;iimaat̪;itʃerq_ijaa
v	v	B	82	58	mat̪_iθaav;imak_utʃvatʃ;t̪avav;t̪avav;ljuuvii
θ	θ	D	34	24	mat̪_iθaav;ipaθ;kalaθ;iidonoθajv;iθii
e	e	E	44	33	masdej;itʃajer;uujej;iiʔwe;iikwe
ee	eː	E	5	5	ineeh;heeq_i;injeetʃvtʃ;injeetʃvtʃ;atʃeem
h	h	H	58	25	hamʔuulj;uwoh;havasuu;hutʃqol_humar;hutʃqol_humar
ʔ	ʔ	H	44	41	hamʔuulj;anjaaʔiilj;iiʔwe;uʔuutʃ;araʔar
hw	hw/hʷ	H	3	3	njahwat̪;ahwat̪;ahwaa
i	i	I	109	35	mat̪_iθaav;itʃipaj;itʃipaj;imak;imak_utʃvatʃ
ii	iː	I	86	19	njiimak;iisalj;iisalj;iit̪o;ljuuvii
j	j	J	126	78	amaj;masdej;njiimak;itʃipaj;iisalj
k	k	K	64	32	njiimak;imak;imak_utʃvatʃ;tʃakjoo;njasak
q	q	K	16	5	hutʃqol_humar;qapaj;itʃerq_ijaa;hat̪tʃoq;aljaaqv
kh	kh/kʰ	K	1	1	sakhav
qw	qw/qʷ	K	5	5	aqwat̪;aqwaθ;iqwintʃ;iiwanjtʃ_ʔaqwaθ_e;aqwaθ
l	l	L	62	58	iisalj;iisalj;hamʔuulj;alaj;ljuuvii
m	m	M	89	57	amaj;masdej;njiimak;tʃaam;mat̪_iθaav
n	n	N	93	37	njiimak;anjaaʔiilj;njahwat̪;njasak;njama
p	p	P	58	46	itʃipaj;tʃapuu;ipaθ;qapaj;ipuj
r	r	R	47	22	itʃajer;hutʃqol_humar;hatʃuur;araʔar;araʔar
s	s	S	38	26	masdej;iisalj;iisalj;aljmuus;havasuu
ʃ	ʃ	S	1	1	iiʃ_i
d	d	T	18	18	masdej;idii;iidonoθajv;iido;vidii
tʃ	tʃ	T	69	32	tʃaam;itʃipaj;imak_utʃvatʃ;imak_utʃvatʃ;itʃajer
t̪	t̪	T	42	18	mat̪_iθaav;iit̪o;amat̪;t̪avav;valjt̪ajm
o	o	U	32	27	uwoh;iit̪o;hutʃqol_humar;ahot̪;ahot̪
oo	oː	U	15	5	tʃakjoo;avkjoo;t̪aroov;amapoot̪;itʃaθoo
w	w	W	33	9	uwoh;iiʔwe;aʔwii;iθʔaw;iraw
u	u	Y	41	37	uwoh;imak_utʃvatʃ;hutʃqol_humar;hutʃqol_humar;uʔuutʃ
uu	uː	Y	32	24	hamʔuulj;ljuuvii;aljmuus;tʃapuu;havasuu
_	+	_	35	35	mat̪_iθaav;imak_utʃvatʃ;hutʃqol_humar;itʃerq_ijaa;itʃ_ama
kw	kw/k w	K W	19	17	iikwe;iisalj_kwaθarap;tʃaθkwil;iikwe;iija_kwahʔuur
