Grapheme	IPA	SCA	Frequency
^a	a	A	29
^b	b	P	26
^d	d	T	2
^dʒ	dʒ	T	8
^e	e	E	2
^ee	eː	E	1
^ee$	eː	E	1
^f	f	B	1
^g	g	K	16
^h	h	H	5
^i	i	I	7
^ii	iː	I	6
^j	j	J	2
^k	k	K	13
^l	l	L	3
^m	m	M	12
^n	n	N	5
^o	o	U	1
^oo	oː	U	4
^q	q	K	4
^r	r	R	6
^s	s	S	11
^t	t	T	8
^ts	ts	C	7
^tʃ	tʃ	T	14
^w	w	W	5
^z	z	S	4
^ħ	ħ	H	10
^ʃ	ʃ	S	9
^ʕ	ʕ	H	22
^χ	χ	G	3
_	+	_	7
a	a	A	136
a$	a	A	101
aa	aː	A	16
b	b	P	31
b$	b	P	3
bb	bː	P	3
d	d	T	14
d$	d	T	3
dd	dː	T	13
dʒ	dʒ	T	1
e	e	E	12
e$	e	E	47
ee	eː	E	2
f	f	B	7
g	g	K	5
g$	g	K	2
gg	gː	K	2
h$	h	H	1
i	i	I	51
i$	i	I	29
ii	iː	I	4
ii$	iː	I	1
j	j	J	23
j$	j	J	2
jj	jː	J	2
k	k	K	22
k$	k	K	2
kk	kk/kː	K	13
l	l	L	15
l$	l	L	1
ll	ll/lː	L	1
m	m	M	20
m$	m	M	3
n	n	N	52
n$	n	N	4
nn	nn/nː	N	4
ns	n s	N S	1
o	o	U	27
o$	o	U	14
oo	oː	U	7
oo$	oː	U	1
pp	pp/pː	P	1
q	q	K	6
q$	q	K	2
qq	qq/qː	K	2
r	r	R	21
r$	r	R	1
rr	rr/rː	R	2
s	s	S	5
s$	s	S	2
t	t	T	40
ts	ts	C	2
tt	tt/tː	T	7
tʃ	tʃ	T	5
tʃtʃ	tʃtʃ/tʃː	T	1
u	u	Y	64
u$	u	Y	6
uu	uː	Y	5
w	w	W	3
w$	w	W	6
z	z	S	4
zz	zz/zː	S	1
ħ	ħ	H	6
ʃ	ʃ	S	11
ʃ$	ʃ	S	1
ʔ	ʔ	H	11
ʔ$	ʔ	H	7
ʕ	ʕ	H	18
ʕ$	ʕ	H	6
χ	χ	G	7
χ$	χ	G	1
