Grapheme	IPA	SCA	Frequency
^a	a	A	1
^c	c	C	8
^d̪	d̪	T	16
^h	h	H	10
^i	i	I	2
^i$	i	I	1
^k	k	K	12
^kh	kʰ	K	4
^l̪	l̪	L	12
^m	m	M	18
^m̥	m̥	M	2
^n	n	N	12
^n̪	n̪	N	55
^n̪̥	n̪̥	N	6
^o$	o	U	1
^p	p	P	25
^ph	pʰ	P	5
^q	q	K	8
^qh	qʰ	K	6
^s̪	s̪	S	3
^tʂ	ʈʂ	C	15
^tʂh	ʈʂʰ	C	5
^t̪	t̪	T	35
^t̪h	t̪ʰ	T	1
^t̪s̪	ts̪	T	3
^t̪s̪h	ts̪ʰ	T	1
^u	u	Y	5
^v	v	B	2
^ŋ	ŋ	N	1
^ɬ	ɬ	L	5
^ɲ	ɲ	N	9
^ɲ̊	ɲ̊	N	1
^ɳ	ɳ	N	5
^ɴ	ɴ	N	3
^ʂ	ʂ	S	11
^ʈ	ʈ	T	5
^ʐ	ʐ	S	8
^ʝ	ʝ	S	10
_	+	_	89
a	a	A	136
a$	a	A	30
b	b	P	7
c	c	C	3
ch	ch/tʃ	T	1
dʐ	ɖʐ	C	11
d̪	d̪	T	43
d̪ʂh	ⁿɖʐʱ	C	3
e	e	E	25
e$	e	E	26
g	g	K	2
h	h	H	3
i	i	I	53
i$	i	I	43
k	k	K	1
kh	kh/kʰ	K	2
l̪	l̪	L	20
m	m	M	7
m$	m	M	1
m̥	m̥	M	1
n	n	N	4
n̪	n̪	N	19
n̪̥	n̪̥	N	1
o	o	U	42
o$	o	U	27
p	p	P	5
q	q	K	9
qh	qh/qʰ	K	1
s̪	s̪	S	1
t	t	T	1
tʂ	ʈʂ	C	5
tʂh	tʂh/ʈʂʰ	C	5
t̪	t̪	T	17
t̪s̪h	t̪s̪h/ts̪ʰ	T	3
u	u	Y	56
u$	u	Y	71
v	v	B	25
v$	v	B	51
z̪	z̪	S	21
ŋ	ŋ	N	20
ŋ$	ŋ	N	17
ɖ	ɖ	T	5
ə	ə	E	29
ə$	ə	E	34
ɟ	ɟ	C	4
ɢ	ɢ	K	3
ɨ	ɨ	I	23
ɨ$	ɨ	I	28
ɬ	ɬ	L	3
ɲ	ɲ	N	3
ʂ	ʂ	S	11
ʂ$	ʂ	S	1
ʈ	ʈ	T	1
ʐ	ʐ	S	5
ʝ	ʝ	S	2
ʝ$	ʝ	S	1
