Grapheme	IPA	SCA	FREQUENCY	Frequency	EXAMPLES
^	NULL		332	NULL	apeʔ;xowaji;tɒʔjiʔʃeʔ;jaɬ;ɬakomʔa
$	NULL		323	NULL	apeʔ;xowaji;tɒʔjiʔʃeʔ;jaɬ;ɬakomʔa
a	a	A	270	203	apeʔ;xowaji;jaɬ;ɬakomʔa;ɬakomʔa
aa	aː	A	7	7	ɬawaatʃa;jiwaatʃa;ɬawaatʃa;kaswaatʃa;jiwaatʃaeɬ
f	f	B	38	8	kɒfajaʃ;fuju;waf;kfeʔ;fuut
v	v	B	1	1	noheʃtʼʃʼe_nava_jifhus
fh	fh/fʰ	B	1	1	noheʃtʼʃʼe_nava_jifhus
c	c	C	20	12	cʔajɒʔj;kocxaʔt;pɒcex;fiʔc;kɒxɒkcini
e	e	E	103	63	apeʔ;tɒʔjiʔʃeʔ;ɒxetʃe;ɒxetʃe;eʔm_ti
ee	eː	E	2	2	nɒkeeʃ;nokeeʃ
x	x	G	101	48	xowaji;ʃnomax;ɒxetʃe;xujiʃʔe;ɬawɒxʔe
xx	xx/xː	G	1	1	naʔpkutaxxi
h	h	H	1	1	noheʃtʼʃʼe_nava_jifhus
ʔ	ʔ	H	205	157	apeʔ;tɒʔjiʔʃeʔ;tɒʔjiʔʃeʔ;tɒʔjiʔʃeʔ;ɬakomʔa
^ʔw	ʔʷ	H	1	1	ʔwan
i	i	I	112	89	xowaji;tɒʔjiʔʃeʔ;jakkisit;jakkisit;ɒjiʔʃ
j	j	J	70	40	xowaji;tɒʔjiʔʃeʔ;jaɬ;kɒfajaʃ;jakkisit
jj	jː	J	1	1	ta_ɬajjaʔʃ
k	k	K	148	79	ɬakomʔa;kɒfajaʃ;tukus;tuʔk;tuʔk
kk	kk/kː	K	1	1	jakkisit
^kk	kː	K	1	1	kkʔapoʔ
l	l	L	34	34	ɒxɒklɒ;niklasʃi;klaxɒx;tʔaklɒʔk;kaklek
ɬ	ɬ	L	43	15	jaɬ;ɬakomʔa;ɬasnɒjitʃ;ɬawɒxʔe;aʃiɬɒx
m	m	M	32	17	ɬakomʔa;ʃnomax;eʔm_ti;ʃitʃam;amkojan
n	n	N	93	31	ʃnomax;ɬasnɒjitʃ;niklasʃi;sxaʔn;nuʔ
ɒ	ɒ	O	70	57	tɒʔjiʔʃeʔ;kɒfajaʃ;ɒjiʔʃ;ɒxetʃe;ɬasnɒjitʃ
p	p	P	43	22	apeʔ;kkʔapoʔ;tʔapɒʔj;xapʔaɬ;pataktʃʔe
s	s	S	41	13	jakkisit;tukus;sas;sas;ɬasnɒjitʃ
ʃ	ʃ	S	51	18	tɒʔjiʔʃeʔ;kɒfajaʃ;ʃnomax;xujiʃʔe;tʔɒjiʃʔe
ʔs$	ʔs/ˀs	S	6	6	jeʔs;kxuʔs;cʔoʔs;wɒʔs;katiʔs
ʔʃ$	ʔʃ/ˀʃ	S	6	6	ɒjiʔʃ;ɬsaʔʃ;klaʔʃ;naʔʃ;ta_ɬajjaʔʃ
t	t	T	125	53	tɒʔjiʔʃeʔ;jakkisit;tukus;tuʔk;tuʔk
tʃ	tʃ	T	64	44	ɒxetʃe;ɬasnɒjitʃ;ʃitʃam;tʃʔitoʔ;tʃaʔx
^tt	tː	T	1	1	ttʃanu
tʼʃʼ	tʃʼ	T	2	1	tʼʃʼaʔna;noheʃtʼʃʼe_nava_jifhus
o	o	U	53	50	xowaji;ɬakomʔa;ʃnomax;kkʔapoʔ;wojej
w	w	W	41	26	xowaji;ɬawɒxʔe;wojej;wɒseʔ;jiwojeʃtʃʔe
u	u	Y	69	58	tukus;tukus;tuʔk;tuʔk;xujiʃʔe
uu	uː	Y	2	2	fuut;kuukten
_	+	_	11	11	eʔm_ti;pastʃe_ɬapʔoʔt;ta_ɬxunaʃ;ɬkacʔi_towkojca;tʔaʔkʔ_sin
