Grapheme	IPA	SCA	Frequency
^!a	ǃ a	! A	1
^!e̞	ǃ e̞	! E	1
^!h	ǃʰ	!	3
^!hw	ǃʷʰ	!	1
^!i$	ǃ i	! I	1
^!ʔ	ǃʔ	!	5
^a	a	A	1
^b	b	P	18
^c	c	C	4
^ch	ch/tʃ	T	7
^d	d	T	6
^g	g	K	1
^h	h	H	21
^i	i	I	8
^k	k	K	16
^kh	kʰ	K	3
^kw	kw/k w	K W	6
^kʼ	kʼ	K	7
^m	m	M	21
^n	n	N	7
^o̞	o̞	U	1
^ph	pʰ	P	3
^s	s	S	8
^sw	s w	S W	3
^t	t	T	13
^th	th/tʰ	T	14
^tʼ	tʼ	T	12
^tʼs	tʼ s	T S	1
^tʼsʼ	tsʼ	T	9
^tʼsʼw	tsʼ w	T W	2
^u	u	Y	3
^w	w	W	6
^x	x	G	1
^ǀ	ǀ	!	13
^ǀhw	ǀʰʷ	!	1
^ǁ	ǁ	!	11
^ǁh	ǁʰ	!	2
^ǁw	ǁʷ	!	1
^ɟ	ɟ	C	6
^ɬ	ɬ	L	6
^ᵑ!	ⁿǃ	!	12
^ᵑǀ	ⁿǀ	!	7
^ᵑǀw	ᵑǀʷ	!	1
^ᵑǁ	ⁿǁ	!	2
_	+	_	16
a	a	A	119
a$	a	A	64
aa	aː	A	16
aa$	aː	A	8
b	b	P	10
c	c	C	5
ch	ch/tʃ	T	2
d	d	T	13
e̞	e̞	E	56
e̞$	e̞	E	47
e̞e̞	e̞ː	E	5
e̞e̞$	e̞ː	E	25
g	g	K	8
g$	g	K	1
i	i	I	49
i!ʔ	i ǃʔ	I !	1
i$	i	I	23
ii	iː	I	3
j	j	J	8
k	k	K	27
kh	kh/kʰ	K	6
kw	kw/k w	K W	4
kʼ	kʼ	K	11
l	l	L	7
m	m	M	32
m$	m	M	3
ms	m s	M S	1
n	n	N	42
n$	n	N	3
o	o	U	1
o̞	o̞	U	33
o̞$	o̞	U	16
o̞o̞	o̞ː	U	9
o̞o̞$	o̞ː	U	15
p	p	P	4
ph	ph/pʰ	P	3
s	s	S	34
s$	s	S	2
sw	s w	S W	1
t	t	T	17
th	th/tʰ	T	3
tʼ	tʼ	T	2
tʼsʼ	tsʼ	T	10
tʼsʼ$	tsʼ	T	2
u	u	Y	38
u$	u	Y	34
uu	uː	Y	6
uu$	uː	Y	1
w	w	W	7
x	x	G	13
x$	x	G	2
ŋ	ŋ	N	18
ŋ$	ŋ	N	23
ǀ	ǀ	!	2
ǁ	ǁ	!	2
ǁh	ǁʰ	!	1
ɟ	ɟ	C	4
ɬ	ɬ	L	2
ɬʼ	ɬʼ	L	9
ɬʼ$	ɬʼ	L	1
ɬʼw	ɬʼ w	L W	3
ɾ	ɾ	R	16
ɾ$	ɾ	R	1
ʔ	ʔ	H	35
ʔ$	ʔ	H	4
ᵑǁ	ⁿǁ	!	2
