Grapheme	IPA	SCA	Frequency
^a	a	A	50
^b	b	P	19
^d	d	T	22
^e	e	E	15
^e$	e	E	2
^g	g	K	18
^gw	gw/g w	K W	1
^i	i	I	13
^i$	i	I	1
^j	j	J	8
^k	k	K	11
^kw	kw/k w	K W	1
^m	m	M	20
^n	n	N	27
^o	o	U	10
^p	p	P	10
^s	s	S	5
^t	t	T	13
^u	u	Y	16
^uu	uː	Y	1
^v	v	B	1
^w	w	W	26
_	+	_	66
a	a	A	215
a$	a	A	118
b	b	P	9
d	d	T	21
e	e	E	187
e$	e	E	29
g	g	K	53
i	i	I	77
i$	i	I	16
j	j	J	7
k	k	K	16
k$	k	K	5
m	m	M	50
m$	m	M	5
n	n	N	110
n$	n	N	76
ns	n s	N S	2
o	o	U	48
o$	o	U	5
p	p	P	85
p$	p	P	19
r	r	R	53
s	s	S	24
t	t	T	42
t$	t	T	6
u	u	Y	94
u$	u	Y	8
v	v	B	5
w	w	W	91
