Grapheme	IPA	SCA	Frequency
^a	a	A	28
^b	b	P	34
^d̪	d̪	T	31
^g	g	K	17
^h	h	H	11
^j	j	J	44
^jj	jː	J	5
^js	j s	J S	1
^k	k	K	47
^m	m	M	4
^n̪	n̪	N	5
^o̞	o̞	U	12
^o̞$	o̞	U	2
^p	p	P	4
^r	r	R	1
^s	s	S	23
^tʃ	tʃ	T	7
^t̪	t̪	T	22
^v	v	B	1
^z	z	S	1
^œ	œ	U	5
^ɛ	ɛ	E	13
^ɪ	ɪ	I	12
^ɯ	ɯ	I	4
^ʃ	ʃ	S	4
^ʊ	ʊ	Y	4
_	+	_	23
a	a	A	151
a$	a	A	32
aa	aː	A	2
b	b	P	15
dʒ	dʒ	T	16
d̪	d̪	T	34
d̪$	d̪	T	1
f$	f	B	1
g	g	K	7
h	h	H	3
j	j	J	57
j$	j	J	4
jjj	jjj/jː	J	4
jjj$	jjj/jː	J	1
js$	j s	J S	1
jʃ	j ʃ	J S	2
jʃ$	j ʃ	J S	1
k	k	K	36
k$	k	K	84
ks	k s	K S	4
kʃ	k ʃ	K S	1
l̪	l̪	L	57
l̪$	l̪	L	13
l̪l̪	l̪l̪/l̪ː	L	1
m	m	M	74
m$	m	M	5
mm	mm/mː	M	1
mʃ	m ʃ	M S	1
n̪	n̪	N	40
n̪$	n̪	N	50
n̪n̪	n̪n̪/n̪ː	N	8
n̪s	n̪ s	N S	1
o̞	o̞	U	30
p	p	P	4
p$	p	P	1
r	r	R	78
r$	r	R	12
s	s	S	16
ss	ss/sː	S	2
tʃ	tʃ	T	13
tʃ$	tʃ	T	6
t̪	t̪	T	17
t̪$	t̪	T	9
v	v	B	8
v$	v	B	1
z	z	S	24
z$	z	S	20
œ	œ	U	15
ɛ	ɛ	E	144
ɛ$	ɛ	E	23
ɣ	ɣ	G	34
ɣ$	ɣ	G	5
ɪ	ɪ	I	54
ɪ$	ɪ	I	20
ɯ	ɯ	I	49
ɯ$	ɯ	I	19
ʃ	ʃ	S	13
ʃ$	ʃ	S	20
ʊ	ʊ	Y	49
ʊ$	ʊ	Y	11
