Grapheme	IPA	SCA	Frequency
^a	a	A	2
^a$	a	A	1
^aa	aː	A	1
^b	b	P	45
^d	d	T	30
^dʒ	dʒ	T	18
^f	f	B	27
^h	h	H	5
^i	i	I	1
^i$	i	I	2
^j	j	J	2
^k	k	K	48
^l	l	L	9
^m	m	M	36
^n	n	N	25
^n$	n	N	1
^r	r	R	1
^s	s	S	32
^t	t	T	27
^tʃ	tʃ	T	1
^uu	uː	Y	1
^v	v	B	1
^w	w	W	8
^ŋ	ŋ	N	1
^ɔ	ɔ	U	4
^ɲ	ɲ	N	8
_	+	_	55
a	a	A	173
a$	a	A	67
b	b	P	21
d	d	T	37
dʒ	dʒ	T	5
e	e	E	57
e$	e	E	10
ee$	eː	E	1
f	f	B	11
i	i	I	144
i$	i	I	22
j	j	J	19
k	k	K	46
l	l	L	48
m	m	M	68
n	n	N	78
n$	n	N	4
nn	nn/nː	N	1
ns	n s	N S	1
p	p	P	2
r	r	R	64
s	s	S	19
t	t	T	47
t$	t	T	1
tʃ$	tʃ	T	1
u	u	Y	99
u$	u	Y	7
w	w	W	6
ŋ	ŋ	N	83
ŋ$	ŋ	N	42
ɔ	ɔ	U	63
ɔ$	ɔ	U	176
ɔɔ$	ɔː	U	2
ɲ	ɲ	N	7
