Grapheme	IPA	SCA	Frequency
^a	a	A	38
^aa	aː	A	5
^b	b	P	21
^c	c	C	3
^d	d	T	17
^e	e	E	1
^g	g	K	7
^i	i	I	11
^ii	iː	I	1
^j	j	J	9
^k	k	K	49
^kw	kw/k w	K W	3
^l	l	L	3
^m	m	M	18
^n	n	N	21
^o	o	U	1
^oo	oː	U	1
^p	p	P	3
^r	r	R	5
^s	s	S	15
^t	t	T	7
^u	u	Y	7
^uu	uː	Y	1
^w	w	W	5
^ɔ	ɔ	U	2
^ɗ	ɗ	T	1
^ə	ə	E	4
^ɛ	ɛ	E	2
^ɛɛ	ɛː	E	2
^ɟ	ɟ	C	4
^ɲ	ɲ	N	5
_	+	_	19
a	a	A	102
a$	a	A	35
aa	aː	A	18
b	b	P	17
bb	bː	P	1
bw	b w	P W	1
c	c	C	4
c$	c	C	1
d	d	T	66
d$	d	T	5
dd	dː	T	1
ds$	d s	T S	1
e	e	E	18
e$	e	E	4
ee	eː	E	1
g	g	K	14
gw	gw/g w	K W	2
i	i	I	53
i$	i	I	55
ii	iː	I	6
j	j	J	9
j$	j	J	1
k	k	K	39
k$	k	K	22
kk	kk/kː	K	1
l	l	L	7
l$	l	L	2
m	m	M	17
m$	m	M	10
ms	m s	M S	1
n	n	N	33
n$	n	N	14
o	o	U	26
o$	o	U	9
oo	oː	U	3
p	p	P	3
p$	p	P	1
pp	pp/pː	P	1
r	r	R	15
r$	r	R	18
rs	r s	R S	1
s	s	S	15
s$	s	S	8
ss	ss/sː	S	1
t	t	T	14
t$	t	T	9
ts	ts	C	1
tt	tt/tː	T	1
u	u	Y	26
u$	u	Y	8
w	w	W	11
ŋ	ŋ	N	4
ŋ$	ŋ	N	29
ɔ	ɔ	U	19
ɔ$	ɔ	U	5
ɔɔ	ɔː	U	1
ɗ	ɗ	T	1
ə	ə	E	52
ɛ	ɛ	E	13
ɛ$	ɛ	E	14
ɟ	ɟ	C	6
ɲ	ɲ	N	17
ɲ$	ɲ	N	20
ʃ$	ʃ	S	1
