Grapheme	IPA	Frequency
^w	w	28
ã	ã	39
k	k	90
a	a	121
b$	b	5
^k	k	16
x	x	85
o	o	54
i	i	59
p	p	43
ã$	ã	72
^o	o	11
h	h	18
^ã	ã	3
t̪	t̪	54
n	n	32
j	j	51
_$	NULL	1
^i	i	25
u	u	28
a$	a	115
^tʃ	tʃ	3
z̪	z̪	11
e$	e	43
m	m	18
ʃ	ʃ	27
^t̪	t̪	53
ʒ	ʒ	28
s̪	s̪	14
o$	o	6
^tʃh	tʃʰ	26
w	w	16
i$	i	50
^ʃ	ʃ	16
tʃ	tʃ	26
tʃh	tʃh/tʃʰ	12
ĩ$	ĩ	11
_	+	8
^t̪h	t̪ʰ	5
e	e	61
^kh	kʰ	2
kh	kh/kʰ	5
^z̪	z̪	4
ĩ	ĩ	11
l	l	43
^j	j	9
^p	p	12
^s̪	s̪	14
ɣ	ɣ	10
^t̪ʼ	t̪ʼ	2
^h	h	25
u$	u	17
kʃ	k ʃ	10
^n	n	15
^m	m	13
^ũ	ũ	12
^kʼ	kʼ	2
^a	a	11
^x	x	7
^e	e	6
ũ$	ũ	5
ũ	ũ	26
ŋ$	ŋ	3
b	b	3
g	g	5
l$	l	9
ps̪	p s̪	1
^b	b	1
xʼ	xʼ	1
^l	l	10
ʃ$	ʃ	2
pʼ	pʼ	1
^ph	pʰ	1
^i$	i	1
kʼ	kʼ	2
x$	x	1
^g	g	2
^ĩ	ĩ	2
^xʼ	xʼ	1
^pʃ	p ʃ	1
^ɣ	ɣ	1
ʃʼ	ʃʼ	2
t̪ʼ	t̪ʼ	1
^oo	oː	1
