Grapheme	IPA	SCA	FREQUENCY	Frequency	EXAMPLES
^	NULL		266	NULL	kʼalɸ;t̪ʼilkil;o̞kikʼme̞xal;mn̪iʎ;wir̪n̪ikʼ
$	NULL		274	1	kʼalɸ;t̪ʼilkil;o̞kikʼme̞xal;mn̪iʎ;he̞qʼe̞
a	a	A	133	89	kʼalɸ;o̞kikʼme̞xal;n̪atʃe̞kʼaz̪;n̪atʃe̞kʼaz̪;kʼakaq
aa	aː	A	1	1	qaakʼt̪ʼan̪akʼ
ɸ	ɸ	B	12	5	kʼalɸ;wr̪iɸq;qʼɸin̪;ɸʎa;e̞lɸ
^β	β	B	1	1	βo̞s̪t̪ʼr̪o̞j
e̞	e̞	E	96	68	o̞kikʼme̞xal;he̞qʼe̞;he̞qʼe̞;n̪atʃe̞kʼaz̪;kʼe̞kʼe̞le̞n̪e̞
e̞e̞$	e̞ː	E	1	1	t̪ʼe̞e̞
x	x	G	109	32	o̞kikʼme̞xal;kʼs̪alx;is̪ximt̪ʼle̞k;kʼilkilx;lalxan̪
^h	h	H	8	8	he̞qʼe̞;ho̞pʼt̪ʼ;haqs̪xil;hlkn̪i;han̪s̪ɸ
i	i	I	132	98	t̪ʼilkil;t̪ʼilkil;o̞kikʼme̞xal;mn̪iʎ;wir̪n̪ikʼ
ii	iː	I	1	1	qʼan̪iin̪
j	j	J	24	21	ʃitʃan̪jan̪;kʼljmltʃ;kʼljmltʃ;xo̞pʼt̪ʼjlan̪;je̞alkin̪
k	k	K	19	11	t̪ʼilkil;o̞kikʼme̞xal;kʼakaq;e̞ke̞n̪;t̪ʼke̞l
q	q	K	39	18	qin̪z̪;kʼakaq;e̞qkʼe̞;qin̪e̞ŋ;qas̪kʼ
kʼ	kʼ	K	70	27	kʼalɸ;o̞kikʼme̞xal;wir̪n̪ikʼ;n̪atʃe̞kʼaz̪;kʼe̞kʼe̞le̞n̪e̞
qʼ	qʼ	K	36	15	he̞qʼe̞;ʎwaʎqʼal;qʼe̞t̪ʼqʼ;qʼe̞t̪ʼqʼ;t̪ʼqʼaz̪
qqʼ	qqʼ/q’ː	K	1	1	t̪ʼe̞lqʼe̞qqʼ
l	l	L	117	45	kʼalɸ;t̪ʼilkil;t̪ʼilkil;o̞kikʼme̞xal;kʼe̞kʼe̞le̞n̪e̞
ʎ	ʎ	L	24	6	mn̪iʎ;ʎwaʎqʼal;ʎwaʎqʼal;mʎim;ŋiz̪an̪n̪ʎ
m	m	M	36	13	o̞kikʼme̞xal;mn̪iʎ;mʎim;mʎim;is̪ximt̪ʼle̞k
ŋ	ŋ	N	14	8	qin̪e̞ŋ;ŋaqaz̪;ŋiz̪an̪n̪ʎ;t̪ʼe̞ŋl;kʼʎt̪ʼaŋan̪
n̪	n̪	N	93	46	mn̪iʎ;wir̪n̪ikʼ;n̪atʃe̞kʼaz̪;kʼe̞kʼe̞le̞n̪e̞;kʼe̞kʼe̞le̞n̪e̞
n̪n̪	n̪n̪/n̪ː	N	1	1	ŋiz̪an̪n̪ʎ
p	p	P	2	2	apqʼal;pʼipj
pʼ	pʼ	P	16	4	ho̞pʼt̪ʼ;pʼe̞n̪;ipʼir̪e̞s̪x;xo̞pʼt̪ʼjlan̪;pʼe̞n̪
r̪	r̪	R	9	6	wir̪n̪ikʼ;wr̪iɸq;ipʼir̪e̞s̪x;s̪e̞r̪kʼo̞n̪;pʼir̪s̪e̞t̪ʼa
ʃ	ʃ	S	3	1	ʃalkʼ;aʃat̪ʼ;ʃitʃan̪jan̪
s̪	s̪	S	69	25	kʼs̪alx;qas̪kʼ;is̪ximt̪ʼle̞k;s̪e̞n̪me̞t̪ʼe̞z̪;s̪e̞n̪
z̪	z̪	S	30	16	n̪atʃe̞kʼaz̪;qin̪z̪;ŋaqaz̪;t̪ʼqʼaz̪;ŋiz̪an̪n̪ʎ
tʃ	tʃ	T	10	3	n̪atʃe̞kʼaz̪;ʃitʃan̪jan̪;atʃilax;tʃe̞klkʼaz̪;tʃo̞o̞kʼt̪ʼun̪ukʼ
t̪	t̪	T	17	8	ko̞t̪;t̪jat̪ja;t̪jat̪ja;t̪jat̪ja;t̪jat̪ja
t̪ʼ	t̪ʼ	T	65	42	t̪ʼilkil;ho̞pʼt̪ʼ;t̪ʼke̞l;kʼt̪ʼluin̪;is̪ximt̪ʼle̞k
o̞	o̞	U	17	14	o̞kikʼme̞xal;ho̞pʼt̪ʼ;kʼo̞l;kʼo̞n̪in̪k;xo̞pʼt̪ʼjlan̪
o̞o̞	o̞ː	U	1	1	tʃo̞o̞kʼt̪ʼun̪ukʼ
w	w	W	11	2	wir̪n̪ikʼ;ʎwaʎqʼal;wr̪iɸq;iwl;pʼr̪awo̞i
u	u	Y	50	41	un̪a;kʼt̪ʼluin̪;lu;t̪ʼxun̪;tʃo̞o̞kʼt̪ʼun̪ukʼ
