ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family
abun,Abun,,,kgr,Papunesia,,,Abun
achumawi,Achumawi,,,acv,North America,,,Palaihnihan
adyghe,Adyghe,,,ady,Eurasia,,,Abkhaz-Adyge
aguaruna,Aguaruna,,,agr,South America,,,Jivaroan
ahtena,Ahtena,,,aht,North America,,,Athapaskan-Eyak-Tlingit
ainu,Ainu,,,ain,Eurasia,,,Ainu (Japan)
alabama,Alabama,,,akz,North America,,,Muskogean
alawa,Alawa,,,alh,Australia,,,Mangarrayi-Maran
allentiac,Allentiac,,,N/A,South America,,,Huarpean
alsea,Alsea,,,aes,North America,,,Alsea
amarakaeri,Amarakaeri,,,amr,South America,,,Harakmbut
ambulas,Ambulas,,,abt,Papunesia,,,Ndu
andaqui,Andaqui,,,ana,South America,,,Andaqui
arabela,Arabela,,,arl,South America,,,Zaparoan
arapaho,Arapaho,,,arp,North America,,,Algic
atakapa,Atakapa,,,aqp,North America,,,Atakapa
awtuw,Awtuw,,,kmn,Papunesia,,,Sepik
aymara,Aymara,,,ayr,South America,,,Aymara
ayoreo,Ayoreo,,,ayo,South America,,,Zamucoan
bangime,Bangime,,,dba,Africa,,,Bangime
bambassi,Bambassi,,,myf,Africa,,,Mao
bamu,Bamu,,,bcf,Papunesia,,,Kiwaian
bankanteydogon,Bankan Tey Dogon,,,dbw,Africa,,,Dogon
bari,Bari,,,mot,South America,,,Chibchan
baruya,Baruya,,,byr,Papunesia,,,Angan
basque,Basque,,,eus,Eurasia,,,Basque
berik,Berik,,,bkl,Papunesia,,,Tor-Orya
berta,Berta,,,wti,Africa,,,Berta
bezhta,Bezhta,,,kap,Eurasia,,,Nakh-Daghestanian
bororo,Bororo,,,bor,South America,,,Bororoan
burushaski,Burushaski,,,bsk,Eurasia,,,Burushaski
candoshishapra,Candoshi-Shapra,,,cbu,South America,,,Candoshi-Shapra
cavinena,Cavineña,,,cav,South America,,,Tacanan
cayuvava,Cayuvava,,,cyb,South America,,,Cayubaba
chachi,Chachi,,,cbi,South America,,,Barbacoan
chatino,Chatino,,,ctz,North America,,,Otomanguean
chayahuita,Chayahuita,,,cbt,South America,,,Cahuapanan
chinook,Chinook,,,chh,North America,,,Chinookan
chipaya,Chipaya,,,cap,South America,,,Uru-Chipaya
cofan,Cofán,,,con,South America,,,Cofán
coos,Coos,,,csz,North America,,,Coosan
copainalazoque,Copainalá Zoque,,,zoc,North America,,,Mixe-Zoque
cuitlatec,Cuitlatec,,,cuy,North America,,,Cuitlatec
dadibi,Dadibi,,,mps,Papunesia,,,Teberan
daga,Daga,,,dgz,Papunesia,,,Dagan
deraindonesia,Dera (Indonesia),,,kbv,Papunesia,,,Senagi
dime,Dime,,,dim,Africa,,,South Omotic
djeoromitxi,Djeoromitxi,,,jbt,South America,,,Nuclear-Macro-Je
djingili,Djingili,,,jig,Australia,,,Mirndi
doromukoki,Doromu-Koki,,,kqc,Papunesia,,,Manubaran
enapaworomaipu,E'napa Woromaipu,,,pbh,South America,,,Cariban
esselen,Esselen,,,esq,North America,,,Esselen
estonian,Estonian,,,ekk,Eurasia,,,Uralic
fasu,Fasu,,,faa,Papunesia,,,Fasu
fur,Fur,,,fvr,Africa,,,Furan
gaam,Gaam,,,tbi,Africa,,,Eastern Jebel
gagadu,Gagadu,,,gbu,Australia,,,Gagadu
garrwa,Garrwa,,,wrk,Australia,,,Garrwan
georgian,Georgian,,,kat,Eurasia,,,Kartvelian
gooniyandi,Gooniyandi,,,gni,Australia,,,Bunaban
grasskoiari,Grass Koiari,,,kbk,Papunesia,,,Koiarian
greatandamanese,Great Andamanese,,,gac,Eurasia,,,Great Andamanese
